sample,group,short_reads_1,short_reads_2,longs_reads
ERR3459740,ERS3605455,ERR3459740_1.fastq.gz,ERR3459740_2.fastq.gz,
ERR3459741,ERS3605456,ERR3459741_1.fastq.gz,ERR3459741_2.fastq.gz,
ERR3459742,ERS3605457,ERR3459742_1.fastq.gz,ERR3459742_2.fastq.gz,
ERR3459743,ERS3605458,ERR3459743_1.fastq.gz,ERR3459743_2.fastq.gz,
ERR3459744,ERS3605459,ERR3459744_1.fastq.gz,ERR3459744_2.fastq.gz,
SRR9900877,SRS5214215,SRR9900877_1.fastq.gz,SRR9900877_2.fastq.gz,
SRR9900880,SRS5214215,SRR9900880_1.fastq.gz,SRR9900880_2.fastq.gz,
SRR9900883,SRS5214215,SRR9900883_1.fastq.gz,SRR9900883_2.fastq.gz,
SRR9900887,SRS5214215,SRR9900887_1.fastq.gz,SRR9900887_2.fastq.gz,
SRR9900894,SRS5214215,SRR9900894_1.fastq.gz,SRR9900894_2.fastq.gz,
SRR9900896,SRS5214215,SRR9900896_1.fastq.gz,SRR9900896_2.fastq.gz,
SRR9900902,SRS5214215,SRR9900902_1.fastq.gz,SRR9900902_2.fastq.gz,
SRR9900878,SRS5214220,SRR9900878_1.fastq.gz,SRR9900878_2.fastq.gz,
SRR9900881,SRS5214220,SRR9900881_1.fastq.gz,SRR9900881_2.fastq.gz,
SRR9900884,SRS5214220,SRR9900884_1.fastq.gz,SRR9900884_2.fastq.gz,
SRR9900885,SRS5214220,SRR9900885_1.fastq.gz,SRR9900885_2.fastq.gz,
SRR9900888,SRS5214220,SRR9900888_1.fastq.gz,SRR9900888_2.fastq.gz,
SRR9900889,SRS5214220,SRR9900889_1.fastq.gz,SRR9900889_2.fastq.gz,
SRR9900891,SRS5214220,SRR9900891_1.fastq.gz,SRR9900891_2.fastq.gz,
SRR9900879,SRS5214219,SRR9900879_1.fastq.gz,SRR9900879_2.fastq.gz,
SRR9900882,SRS5214219,SRR9900882_1.fastq.gz,SRR9900882_2.fastq.gz,
SRR9900886,SRS5214219,SRR9900886_1.fastq.gz,SRR9900886_2.fastq.gz,
SRR9900890,SRS5214219,SRR9900890_1.fastq.gz,SRR9900890_2.fastq.gz,
SRR9900892,SRS5214219,SRR9900892_1.fastq.gz,SRR9900892_2.fastq.gz,
SRR9900893,SRS5214219,SRR9900893_1.fastq.gz,SRR9900893_2.fastq.gz,
SRR9900895,SRS5214219,SRR9900895_1.fastq.gz,SRR9900895_2.fastq.gz,
